,timestamp,x_seq,y_seq,yaw_seq,vx,yaw_rate
131,158193315348,3800.39,-2641.38,-2.9227283,4.855,-0.0019198622
132,158193325349,3800.34,-2641.39,-2.9227283,4.855,-0.0019198622
133,158193335350,3800.29,-2641.4,-2.9227283,4.855,-0.0019198622
134,158193345373,3800.24,-2641.41,-2.9227283,4.85,-0.002443461
135,158193355370,3800.2,-2641.42,-2.9227283,4.85,-0.002094395
136,158193365361,3800.15,-2641.43,-2.9227283,4.85,-0.0013962634
137,158193375359,3800.1,-2641.44,-2.9227283,4.85,-0.002268928
138,158193385361,3800.05,-2641.45,-2.9229028,4.845,-0.00418879
139,158193395350,3800.01,-2641.46,-2.9229028,4.845,-0.0019198622
140,158193405349,3799.96,-2641.47,-2.9229028,4.845,-0.0033161256
141,158193415348,3799.91,-2641.48,-2.9229028,4.845,-0.004886922
142,158193425348,3799.86,-2641.49,-2.9229028,4.84,-0.0036651914
143,158193435367,3799.82,-2641.5,-2.9230773,4.84,-0.0052359877
144,158193445355,3799.77,-2641.52,-2.9230773,4.84,-0.004537856
145,158193455371,3799.72,-2641.53,-2.9230773,4.835,-0.0040142573
146,158193465412,3799.67,-2641.54,-2.9232519,4.835,-0.0068067843
147,158193475349,3799.63,-2641.55,-2.9232519,4.835,-0.005934119
148,158193485398,3799.58,-2641.56,-2.9232519,4.83,-0.006457718
149,158193495351,3799.53,-2641.57,-2.9234264,4.83,-0.011693706
150,158193505386,3799.48,-2641.58,-2.923601,4.83,-0.009424778
151,158193515348,3799.44,-2641.59,-2.923601,4.83,-0.009075712
152,158193525387,3799.39,-2641.6,-2.9237757,4.83,-0.008726646
153,158193535370,3799.34,-2641.61,-2.9237757,4.83,-0.010646508
154,158193545357,3799.29,-2641.62,-2.9239502,4.825,-0.010821042
155,158193555353,3799.25,-2641.64,-2.9239502,4.82,-0.007679449
156,158193565356,3799.2,-2641.65,-2.9241247,4.825,-0.010471975
157,158193575355,3799.15,-2641.66,-2.9241247,4.825,-0.007853982
158,158193585369,3799.11,-2641.67,-2.9241247,4.82,-0.006632251
159,158193595349,3799.06,-2641.68,-2.9242992,4.815,-0.009424778
160,158193605356,3799.01,-2641.69,-2.9242992,4.82,-0.0073303827
161,158193615355,3798.96,-2641.7,-2.9242992,4.82,-0.0031415927
162,158193625354,3798.92,-2641.71,-2.9242992,4.815,-0.0038397245
163,158193635368,3798.87,-2641.72,-2.9242992,4.81,-0.00017453292
164,158193645360,3798.82,-2641.73,-2.9242992,4.805,-0.0008726646
165,158193655380,3798.77,-2641.74,-2.9242992,4.81,-0.00017453292
166,158193665357,3798.73,-2641.75,-2.9242992,4.805,0.0017453292
167,158193675360,3798.68,-2641.76,-2.9242992,4.805,0.0010471975
168,158193685370,3798.63,-2641.77,-2.9242992,4.8,0.0033161256
169,158193695368,3798.59,-2641.78,-2.9242992,4.8,0.0034906585
170,158193705349,3798.54,-2641.79,-2.9241247,4.8,0.0036651914
171,158193715349,3798.49,-2641.8,-2.9241247,4.795,0.004537856
172,158193725350,3798.44,-2641.81,-2.9241247,4.795,0.0040142573
173,158193735365,3798.4,-2641.82,-2.9241247,4.795,0.004363323
174,158193745371,3798.35,-2641.83,-2.9239502,4.79,0.004363323
175,158193755367,3798.3,-2641.84,-2.9239502,4.79,0.0040142573
176,158193765351,3798.25,-2641.85,-2.9239502,4.79,0.0033161256
177,158193775349,3798.21,-2641.87,-2.9239502,4.785,0.0034906585
178,158193785349,3798.16,-2641.88,-2.9239502,4.785,0.0027925267
179,158193795349,3798.11,-2641.89,-2.9239502,4.78,0.002443461
180,158193805350,3798.06,-2641.9,-2.9239502,4.78,0.0017453292
181,158193815348,3798.02,-2641.91,-2.9239502,4.78,0.002094395
182,158193825348,3797.97,-2641.92,-2.9237757,4.775,0.0017453292
183,158193835368,3797.92,-2641.93,-2.9237757,4.775,0.0010471975
184,158193845351,3797.87,-2641.94,-2.9239502,4.775,0.00052359875
185,158193855348,3797.83,-2641.95,-2.9239502,4.775,0.00034906584
186,158193865348,3797.78,-2641.96,-2.9239502,4.77,0.0
187,158193875348,3797.73,-2641.97,-2.9239502,4.77,0.0
188,158193885349,3797.69,-2641.98,-2.9239502,4.77,-0.00034906584
189,158193895350,3797.64,-2641.99,-2.9239502,4.765,-0.00034906584
190,158193905348,3797.59,-2642.0,-2.9239502,4.765,-0.00017453292
191,158193915349,3797.54,-2642.01,-2.9239502,4.765,-0.00017453292
192,158193925349,3797.5,-2642.02,-2.9239502,4.765,0.0
193,158193935351,3797.45,-2642.03,-2.9239502,4.765,0.0006981317
194,158193945357,3797.4,-2642.04,-2.9239502,4.765,0.00052359875
195,158193955349,3797.35,-2642.05,-2.9239502,4.76,0.0008726646
196,158193965354,3797.31,-2642.06,-2.9239502,4.76,0.0008726646
197,158193975350,3797.26,-2642.07,-2.9239502,4.76,0.0008726646
198,158193985350,3797.22,-2642.08,-2.9239502,4.76,0.0012217305
199,158193995371,3797.17,-2642.09,-2.9239502,4.755,0.0012217305
200,158194005370,3797.12,-2642.1,-2.9239502,4.755,0.0012217305
201,158194015369,3797.07,-2642.11,-2.9239502,4.755,0.0008726646
202,158194025361,3797.03,-2642.12,-2.9237757,4.75,0.0012217305
203,158194035354,3796.98,-2642.13,-2.9237757,4.75,0.0010471975
204,158194045351,3796.93,-2642.14,-2.9237757,4.75,0.0015707964
205,158194055354,3796.89,-2642.15,-2.9237757,4.75,0.0010471975
206,158194065354,3796.84,-2642.17,-2.9237757,4.745,0.0010471975
207,158194075350,3796.79,-2642.18,-2.9237757,4.745,0.0008726646
208,158194085356,3796.75,-2642.19,-2.9237757,4.745,0.0010471975
209,158194095357,3796.7,-2642.2,-2.923601,4.745,0.0010471975
210,158194105348,3796.65,-2642.21,-2.923601,4.74,0.0008726646
211,158194115355,3796.6,-2642.22,-2.923601,4.74,0.0006981317
212,158194125357,3796.56,-2642.23,-2.923601,4.735,0.0010471975
213,158194135462,3796.51,-2642.24,-2.923601,4.735,0.0013962634
214,158194145357,3796.46,-2642.25,-2.923601,4.735,0.0012217305
215,158194155350,3796.42,-2642.26,-2.923601,4.73,0.002268928
216,158194165357,3796.37,-2642.27,-2.923601,4.73,0.0031415927
217,158194175353,3796.33,-2642.28,-2.923601,4.725,0.0034906585
218,158194185348,3796.28,-2642.29,-2.923601,4.725,0.0040142573
219,158194195349,3796.23,-2642.3,-2.9234264,4.725,0.00418879
220,158194205349,3796.19,-2642.31,-2.9234264,4.72,0.004712389
221,158194215349,3796.14,-2642.32,-2.9234264,4.72,0.004537856
222,158194225350,3796.09,-2642.33,-2.9234264,4.715,0.004712389
223,158194235370,3796.05,-2642.34,-2.9232519,4.715,0.004363323
224,158194245351,3796.0,-2642.35,-2.9232519,4.715,0.004537856
225,158194255348,3795.95,-2642.36,-2.9232519,4.71,0.0040142573
226,158194265349,3795.91,-2642.37,-2.9232519,4.71,0.004537856
227,158194275349,3795.86,-2642.38,-2.9230773,4.705,0.0040142573
228,158194285349,3795.82,-2642.39,-2.9230773,4.7,0.0040142573
229,158194295349,3795.77,-2642.41,-2.9230773,4.7,0.00418879
230,158194305372,3795.72,-2642.42,-2.9230773,4.695,0.0038397245
231,158194315357,3795.68,-2642.43,-2.9229028,4.695,0.0038397245
232,158194325361,3795.63,-2642.44,-2.9229028,4.69,0.0036651914
233,158194335349,3795.59,-2642.45,-2.9229028,4.69,0.0033161256
234,158194345362,3795.54,-2642.46,-2.9229028,4.685,0.0031415927
235,158194355361,3795.49,-2642.47,-2.9229028,4.685,0.0031415927
236,158194365363,3795.45,-2642.48,-2.9229028,4.68,0.0034906585
237,158194375361,3795.4,-2642.49,-2.9227283,4.675,0.0034906585
238,158194385361,3795.36,-2642.5,-2.9227283,4.675,0.0038397245
239,158194395361,3795.31,-2642.51,-2.9229028,4.675,0.0038397245
240,158194405362,3795.26,-2642.52,-2.9227283,4.67,0.0034906585
241,158194415348,3795.22,-2642.53,-2.9227283,4.665,0.0040142573
242,158194425349,3795.17,-2642.54,-2.9227283,4.665,0.0038397245
243,158194435348,3795.13,-2642.55,-2.9227283,4.665,0.004537856
244,158194445356,3795.08,-2642.56,-2.9227283,4.66,0.00418879
245,158194455355,3795.04,-2642.57,-2.9227283,4.66,0.004886922
246,158194465353,3794.99,-2642.58,-2.9225538,4.655,0.0040142573
247,158194475353,3794.95,-2642.59,-2.9225538,4.655,0.00418879
248,158194485350,3794.9,-2642.6,-2.9225538,4.65,0.004363323
249,158194495357,3794.85,-2642.61,-2.9227283,4.65,0.004712389
250,158194505361,3794.81,-2642.62,-2.9225538,4.645,0.004712389
251,158194515349,3794.76,-2642.63,-2.9225538,4.64,0.004712389
252,158194525359,3794.72,-2642.64,-2.9225538,4.64,0.0052359877
253,158194535354,3794.67,-2642.66,-2.9223793,4.635,0.005410521
254,158194545356,3794.63,-2642.67,-2.9223793,4.63,0.0055850535
255,158194555349,3794.58,-2642.68,-2.9222047,4.625,0.0055850535
256,158194565356,3794.54,-2642.69,-2.9222047,4.62,0.005410521
257,158194575354,3794.49,-2642.7,-2.9222047,4.615,0.0052359877
258,158194585353,3794.45,-2642.71,-2.9220302,4.61,0.0050614546
